0.0024525,-0.26846,-0.20509,-0.28026,-0.37081,0.22724,0.41582,-0.061035,0.2275,-0.26517,-0.27303,0.23682,0.3062,0.2851,-0.010609,-0.19989,-0.19986,-0.24033,-0.27936,0.22066,0.17471,-0.037819,0.24445,-0.34683,-0.20105,0.19914,0.26264,0.24328
-0.013731,-0.31039,-0.21698,-0.3957,-0.33105,0.19294,0.36566,-0.032896,0.24715,-0.27337,-0.23908,0.25159,0.24294,0.28715,-0.027818,-0.24081,-0.20012,-0.38511,-0.27136,0.16955,0.22112,-0.012361,0.23041,-0.39793,-0.16664,0.17654,0.23605,0.26393
0.0044308,-0.30267,-0.17047,-0.37672,-0.35514,0.16817,0.34067,-0.047012,0.24993,-0.25398,-0.247,0.19713,0.26687,0.23259,0.014043,-0.24253,-0.17896,-0.41622,-0.27325,0.22646,0.23414,-0.053143,0.2114,-0.3994,-0.22691,0.19017,0.23793,0.18827
0.039885,-0.19986,-0.09083,-0.2554,-0.29509,0.20336,0.33241,-0.084124,0.16452,-0.30642,-0.26688,0.19867,0.21398,0.22736,0.0060759,-0.19295,-0.14739,-0.20131,-0.33295,0.15163,0.18137,-0.053381,0.24061,-0.36337,-0.15929,0.17329,0.24763,0.24547
-0.038233,-0.27993,-0.16477,-0.38263,-0.33453,0.11725,0.35669,-0.0072313,0.26522,-0.29362,-0.22058,0.23106,0.29561,0.26041,-0.031618,-0.21377,-0.15549,-0.35147,-0.26304,0.19402,0.2776,-0.0051106,0.21671,-0.34231,-0.14573,0.20372,0.27735,0.23636
-0.038908,-0.31382,-0.19605,-0.41601,-0.36487,0.11653,0.37878,-0.010814,0.2906,-0.38108,-0.21759,0.25747,0.30225,0.28558,-0.033921,-0.20676,-0.20738,-0.3555,-0.26934,0.15892,0.27883,-0.0045406,0.20712,-0.34108,-0.1445,0.18964,0.27858,0.245
-0.02337,-0.20794,-0.28274,-0.29616,-0.37563,0.18163,0.40277,-0.029788,0.19739,-0.29212,-0.21087,0.2109,0.30452,0.27663,-0.0088391,-0.2422,-0.19908,-0.20527,-0.2691,0.17258,0.18528,-0.035528,0.26285,-0.40476,-0.22508,0.21493,0.24559,0.23263
-0.006559,-0.12826,-0.21259,-0.21499,-0.24788,0.13482,0.25723,-0.028193,0.14388,-0.19966,-0.15139,0.15102,0.17965,0.18156,0.014746,-0.26965,-0.17366,-0.1483,-0.26141,0.17779,0.18431,-0.057618,0.23674,-0.3896,-0.2015,0.18638,0.20388,0.24015
-0.046135,-0.38474,-0.25883,-0.44307,-0.3925,0.17465,0.4101,-0.013625,0.27298,-0.29058,-0.25212,0.21889,0.28312,0.381,-0.024879,-0.23409,-0.2333,-0.43874,-0.24539,0.15879,0.23804,-0.0092803,0.22965,-0.36681,-0.13198,0.20094,0.16721,0.23268
-0.012565,-0.16871,-0.19009,-0.19901,-0.27672,0.14027,0.27718,-0.024618,0.14891,-0.21018,-0.14311,0.17424,0.21935,0.18491,-0.0041379,-0.2264,-0.20352,-0.18933,-0.24073,0.15503,0.18975,-0.037233,0.22355,-0.39011,-0.2158,0.18887,0.25184,0.23935
